area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;p15ba;p15bb;p15b1;p15ca;p15cb;cod_inf;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p59;p60a;p60b;p60c;p60d;p60e;p60f;p60g;p60h;p60i;p60j;p60k;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;ingrl;fexp;condact;secemp;empleo;desempleo;grupo1;rama1;ingpc;pobreza;epobreza;rn;dominio;nnivins;estrato;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;1706;6;1;1;1;1;34;1;10;10;1;2;;3;6;5;;;;6;1;;1;;;1;;1;1;;;;45;;1;4;;;;;;;;;;;;;4100;7112;4;;6;2;2;2;2;2;2;2;2;2;2;2;15;2;1;3;3;2;1;45;;;;;;;;;;;;2;1;2;2;2;1;2;2;2;2;1;2;5;;;;;500;0;2;;;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;1;500;101;1;2;1;;7;6;320;0;0;1;3;4;2713;10150001706;1,015E+15;1,015E+16;1,015E+18;201912
1;10150;1706;6;1;1;2;2;23;2;10;10;1;2;;3;5;7;1;;;6;1;;1;;;1;;1;1;;;;40;;1;4;;;;;;;;;;;;;9700;9111;10;;3;1;2;2;2;2;2;2;2;2;2;2;3;8;1;1;;;1;40;;;;;;;;;;;;1;;;;;;;;;;;;5;;;;;394;0;1;60;;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;1;454;101;1;3;1;;9;20;320;0;0;1;3;3;2713;10150001706;1,015E+15;1,015E+16;1,015E+18;201912
1;10150;1706;6;1;1;3;1;6;3;10;10;;1;1;;5;1;1;;;6;1;;1;;;1;;1;2;12;2;;;;;;;;;;11;;12;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;6;2;;2;;2;;;;;;;;;;;;;;;1;;101;0;;;;;;320;0;0;1;3;3;2713;10150001706;1,015E+15;1,015E+16;1,015E+18;201912
1;10150;1706;6;2;1;1;1;28;1;10;10;1;2;;3;6;6;;;;6;1;;1;;;2;;1;1;;;;50;;1;4;;;;;;;;;;;;;4520;8141;6;2;;;;;;;;;;;;;5;6;1;1;2;1;1;50;;;;;;;;;;;;1;;;;;;;;;;;;5;500;2;;50;;;;;;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;1;450;101;1;1;1;;8;7;150;0;0;1;3;4;2713;10150001706;1,015E+15;1,015E+16;1,015E+18;201912
1;10150;1706;6;2;1;2;2;26;2;10;10;1;2;;8;4;6;1;;;6;1;;1;;;2;;1;2;12;2;;;;;;;;;;11;;9;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;1;;101;9;;;;;;150;0;0;1;3;3;2713;10150001706;1,015E+15;1,015E+16;1,015E+18;201912
1;10150;1706;6;2;1;3;2;3;3;10;10;;;;;;;;;;;1;;1;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;101;0;;;;;;150;0;0;1;3;;2713;10150001706;1,015E+15;1,015E+16;1,015E+18;201912
1;10150;1706;6;3;1;1;2;39;1;10;10;3;2;;3;6;5;;;;6;2;110150;2;110150;;2;;1;2;12;2;;;;;;;;;;9;24;;;;1;3;30;8620;3344;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;2;;1;310;2;;2;;2;;2;;2;2;2;1;1;2;2;2;2;2;2;2;3;1;;101;7;;;1;;;79;1;0;1;3;4;2713;10150001706;1,015E+15;1,015E+16;1,015E+18;201912
1;10150;1706;6;3;1;2;1;22;3;10;10;6;2;;3;7;3;;;;6;2;210150;2;210150;;2;;1;2;12;2;;;;;;;;;;9;12;;;;1;5;18;3100;7522;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;2;2;1;1;1;2;2;2;2;2;2;2;2;1;;101;7;;;1;;;79;1;0;1;3;4;2713;10150001706;1,015E+15;1,015E+16;1,015E+18;201912
1;10150;1706;6;3;1;3;1;10;3;10;10;;1;1;;5;5;1;;;6;1;;1;;;2;;1;2;12;2;;;;;;;;;;11;;12;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;6;2;;2;;2;;;;;;;;;;;;;;;1;;101;0;;;;;;79;1;0;1;3;3;2713;10150001706;1,015E+15;1,015E+16;1,015E+18;201912
1;10150;1706;6;3;1;4;2;4;3;10;10;;;;;;;;;;;1;;1;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;101;0;;;;;;79;1;0;1;3;;2713;10150001706;1,015E+15;1,015E+16;1,015E+18;201912
