area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p08a;p08b;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p231;p232;p233;p24;p25;p251;p26;p27;p28;p29;p30;p31;p32;p33;p34;p341;p35;p351;p36;p37;p38;p381;p39;p40;p41;p42;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p59;p60a;p60b;p60c;p60d;p60e;p60f;p60g;p60h;p60i;p60j;p60k;p61b1;p61c1;p61c2;p61c3;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;p79;p80;p81;p82;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;ingrl;fexp;condact;secemp;empleo;desempleo;grupo1;rama1;ingpc;pobreza;epobreza;nnivins;estrato;upm;id_vivienda;id_hogar;id_persona;periodo
2;200250;000022;005;02;1;01;2;55;1;10;10;2;2; ; ; ;11;6;3; ; ; ;6;2;131751;1;2;8; ; ; ; ; ;35;2;1; ;3;1;15;7; ; ; ; ; ; ; ; ; ; ; ; ;150;6330;6;2; ; ; ; ; ; ; ; ; ; ; ; ;0;10;1;2;3;2;1;35; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1;0;1;100;10; ; ; ; ; ; ; ;2; ;2; ;1;150;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;90;210,056709404024;2;2;1; ;6;1;120;0;0;3;2022;200250000022;20025000002200502;200250000022005021;20025000002200502101;202012
2;200250;000022;005;02;1;02;1;39;3;10;10;6;2; ; ; ;11;6;3; ; ; ;6;2;90150;1;2;8; ; ; ; ; ;35;2;1; ;3;1;15;7; ; ; ; ; ; ; ; ; ; ; ; ;150;9213;7; ; ; ; ; ; ; ; ; ; ; ; ; ;0;10;1;2;3;2;1;35; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;210,056709404024;2;2;1; ;9;1;120;0;0;3;2022;200250000022;20025000002200502;200250000022005021;20025000002200502102;202012
2;200250;000022;005;03;1;01;2;30;1;2;10;1;2; ; ; ;15;9;5; ;1;31010401;6;2;60150;1;1; ; ; ; ; ; ;20;3;1; ;1;1;20;6;4; ; ; ; ; ; ; ; ; ; ; ;4773;5221;6;2; ; ; ; ; ; ; ; ; ; ; ; ;3;6;1;1;2;3;1;40; ; ; ; ; ; ; ; ; ; ; ;3;1;2;2;2;2;2;2;2;2;2;2;2;1;3;1;250;2; ;80; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;170;210,056709404024;2;4;1; ;5;7;56,6666666666667;1;0;5;2022;200250000022;20025000002200503;200250000022005031;20025000002200503101;202012
2;200250;000022;005;03;1;02;1;33;2;10;10;1;1;6;2;2; ;9;5; ;1;30330101;6;2;130150;1;2;12;1;2;2;2;1;20;3;1; ;1;1;20;7; ; ; ; ; ; ; ; ; ; ; ; ;6910;2611;6;2; ; ; ; ; ; ; ; ; ; ; ; ;3;6;1;1;3;1;1;40; ; ; ; ; ; ; ; ; ; ; ;3;1;2;2;2;2;2;2;2;2;2;2;5;1;3;1;0;2; ;0; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;210,056709404024;3;1;1; ;2;13;56,6666666666667;1;0;5;2022;200250000022;20025000002200503;200250000022005031;20025000002200503102;202012
2;200250;000022;005;03;1;03;2;0;3;10;10; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;210,056709404024;0; ; ; ; ; ;56,6666666666667;1;0; ;2022;200250000022;20025000002200503;200250000022005031;20025000002200503103;202012
2;200250;000022;005;05;1;01;2;58;1;10;10;3;2; ; ; ;11;6;4; ; ; ;6;2;110152;1;1; ; ; ; ; ; ;84; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4711;5221;6;2; ; ; ; ; ; ; ; ; ; ; ; ;2;6;1;2;2;1;1;84; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1;4300;1;300;3440; ; ; ; ; ; ; ;1;70;2; ;2; ;2; ;2; ;1;240;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1160;210,056709404024;1;1;1; ;5;7;410;0;0;4;2022;200250000022;20025000002200505;200250000022005051;20025000002200505101;202012
2;200250;000022;005;05;1;02;1;24;3;10;10;6;2; ; ; ;3;7;3; ; ; ;6;1; ;1;2;5; ; ; ; ; ;35;2;1; ;3;1;13;4;5; ; ; ; ; ; ; ; ; ; ; ;4711;5223;7; ; ; ; ; ; ; ; ; ; ; ; ; ;0;6;1;2;2;1;1;35; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;210,056709404024;2;1;1; ;5;7;410;0;0;4;2022;200250000022;20025000002200505;200250000022005051;20025000002200505102;202012
2;200250;000022;005;05;1;03;1;92;6;10;10;4;2; ; ; ;1;4;6;1; ; ;6;2;110152;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;3; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;210,056709404024;9; ; ; ; ; ;410;0;0;3;2022;200250000022;20025000002200505;200250000022005051;20025000002200505103;202012
2;200250;000022;005;06;1;01;2;32;1;10;10;5;2; ; ; ;3;6;6; ; ; ;6;2;170150;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;3;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;290;2; ;2; ;2; ;2; ;2; ;2;2;2;2;2;2;2;2;2;2;2;2;8;1; ;210,056709404024;7; ; ;1; ; ;216,666666666667;0;0;4;2022;200250000022;20025000002200506;200250000022005061;20025000002200506101;202012
2;200250;000022;005;06;1;02;1;34;2;10;10;5;2; ; ; ;3;4;6;1; ; ;6;2;170150;2;2;12;1;6;2;2;1;44; ; ;1;2;1;4;7; ; ; ; ; ; ; ; ; ; ; ; ;4100;7112;4; ;6;2;2;2;2;2;2;2;2;2;2;2;5;2;1;3;3;2;1;44; ; ; ; ; ; ; ; ; ; ; ;3;1;2;2;2;2;2;2;2;2;1;2;5;3;3;1; ; ; ; ;360;0;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;360;210,056709404024;3;2;1; ;7;6;216,666666666667;0;0;3;2022;200250000022;20025000002200506;200250000022005061;20025000002200506102;202012
2;200250;000022;005;06;1;03;2;1;3;10;10; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;210,056709404024;0; ; ; ; ; ;216,666666666667;0;0; ;2022;200250000022;20025000002200506;200250000022005061;20025000002200506103;202012
2;200250;000022;005;07;1;01;1;70;1;10;10;1;2; ; ; ;1;4;6;1; ; ;6;2;71050;2;1; ; ; ; ; ; ;56; ; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;141;6121;5;2; ; ; ; ; ; ; ; ; ; ; ; ;35;10;1;3;3;2;1;56; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;5;3;3;3;2000;1;300;800; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1500;210,056709404024;1;2;1; ;6;1;1450;0;0;3;2022;200250000022;20025000002200507;200250000022005071;20025000002200507101;202012
