area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;estrato;fexp;nnivins;ingrl;ingpc;condact;empleo;desempleo;secemp;grupo1;rama1;pobreza;epobreza;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;000203;010;01;1;01;2;52;1;10;10;3;2; ;11;6;6; ; ; ;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ;4711;5223;2; ;3;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;130;0;1;30; ; ; ;2; ;2; ;1;300;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;396,364252092034;4;160;460;4;1; ;1;5;7;0;0;010150000203;01015000020301001;010150000203010011;01015000020301001101;202112
1;10150;000203;010;02;1;01;2;48;1;1;10;3;2; ;2;9;5; ;1;30910502;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ;8620;2264;5;2; ; ; ; ; ; ; ; ; ; ; ; ;24;6;1;2;1;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1;2000;2; ;800; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;396,364252092034;5;1200;496,25;1;1; ;1;2;17;0;0;010150000203;01015000020301002;010150000203010021;01015000020301002101;202112
1;10150;000203;010;02;1;02;2;26;3;1;10;6;2; ;2;9;5; ;1;30410302;6;1; ;2;1; ; ; ; ; ;40; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ;6419;2412;2; ;2;2;2;2;1;1;1;2;2;1;1;1;3;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;700;70;1;15; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;396,364252092034;5;785;496,25;1;1; ;1;2;11;0;0;010150000203;01015000020301002;010150000203010021;01015000020301002102;202112
1;10150;000203;010;02;1;03;1;21;3;1;10;6;1;5; ;9;2; ;2; ;6;1; ;3;2;12;2; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;396,364252092034;5; ;496,25;9; ; ; ; ; ;0;0;010150000203;01015000020301002;010150000203010021;01015000020301002103;202112
1;10150;000203;010;02;1;04;1;7;5;1;10; ;1;1; ;5;3;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;396,364252092034;3; ;496,25;0; ; ; ; ; ;0;0;010150000203;01015000020301002;010150000203010021;01015000020301002104;202112
1;10150;000203;010;03;1;01;2;36;1;10;10;3;2; ;2;9;5; ;1;30610401;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ;7020;2412;6;2; ; ; ; ; ; ; ; ; ; ; ; ;11;6;1;1;1;1;1;40; ; ; ; ; ; ; ; ; ; ; ;5;1200;2; ;200; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;396,364252092034;5;1000;333,333333333333;1;1; ;1;2;13;0;0;010150000203;01015000020301003;010150000203010031;01015000020301003101;202112
1;10150;000203;010;03;1;02;2;9;3;10;10; ;1;1; ;5;4;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;396,364252092034;3; ;333,333333333333;0; ; ; ; ; ;0;0;010150000203;01015000020301003;010150000203010031;01015000020301003102;202112
1;10150;000203;010;03;1;03;1;8;3;10;10; ;1;1; ;5;3;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;396,364252092034;3; ;333,333333333333;0; ; ; ; ; ;0;0;010150000203;01015000020301003;010150000203010031;01015000020301003103;202112
1;10150;000203;010;04;1;01;1;49;1;10;10;3;2; ;11;6;6; ; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ;11; ;7;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;396,364252092034;4; ;233,333333333333;9; ; ; ; ; ;0;0;010150000203;01015000020301004;010150000203010041;01015000020301004101;202112
1;10150;000203;010;04;1;02;1;27;3;2;10;6;2; ;17;9;5; ;2; ;6;1; ;2;1; ; ; ; ; ;40; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ;7500;3240;6;2; ; ; ; ; ; ; ; ; ; ; ; ;3;6;1;1;3;1;1;40; ; ; ; ; ; ; ; ; ; ; ;2;500;2; ;200; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;396,364252092034;5;300;233,333333333333;4;1; ;1;3;13;0;0;010150000203;01015000020301004;010150000203010041;01015000020301004102;202112
