area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;sp01;sp02a;sp02b;sp02c;sp02d;sp02e;sp02f;sp02g;sp02h;sp02i;sp02j;sp02k;sp02l;sp02m;sp02n;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;000203;022;01;1;01;1;40;1;10;10;1;2; ; ; ;3;9;2; ;2; ;6;2;70950;2;1; ; ; ; ; ;40; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;4781;5211;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;4;9;1;3;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;5;800;1;30;400; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;5;5;5;0;0;9;9;5;5;5;0;5;99;5;1;2713;87,0763511117316;5;430;87;1;0;1;1; ;1;5;7;010150000203;01015000020302201;010150000203022011;01015000020302201101;202206
1;10150;000203;022;01;1;02;2;39;2;10;10;1;2; ; ; ;11;6;4; ; ; ;6;2;71250;2;1; ; ; ; ; ;30;1; ;4; ; ;1; ; ; ; ; ; ; ; ; ; ;4781;9321;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;9;1;3;2;1;1;30; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;6;0;5;3;3;7;7;9;8;3;5;3;4;4;1;2713;87,0763511117316;4; ;87;1;0;5;1; ;1;9;7;010150000203;01015000020302201;010150000203022011;01015000020302201102;202206
1;10150;000203;022;01;1;03;2;20;3;10;10;6;1;2;3;4; ;9;1; ;2; ;6;2;70950;2;1; ; ; ; ; ;30;7; ;4; ; ;2; ; ; ; ; ; ; ; ; ; ;4781;9321;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;9;1;3;2;1;1;30; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;7;1;5;3;3;5;5;4;5;6;0;3;5;5;1;2713;87,0763511117316;5; ;87;1;0;5;1; ;1;9;7;010150000203;01015000020302201;010150000203022011;01015000020302201103;202206
1;10150;000203;022;01;1;04;1;17;3;10;10;6;1;2;1;4; ;7;1; ; ; ;6;2;70150;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;5;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;99;5;5;7;7;10;10;5;2;10;0;5;5;5;1;2713;87,0763511117316;4; ;87;1;0;9; ; ; ; ; ;010150000203;01015000020302201;010150000203022011;01015000020302201104;202206
1;10150;000203;022;01;1;05;2;70;6;10;10;3;2; ; ; ;1;4;6;1; ; ;6;2;71250;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;99;5;99;7;7;10;10;5;2;10;0;5;5;5;1;2713;87,0763511117316;3; ;87;1;0;9; ; ; ; ; ;010150000203;01015000020302201;010150000203022011;01015000020302201105;202206
1;10150;000203;022;02;1;01;1;62;1;1;10;1;2; ; ; ;5;9;2; ;2; ;6;1; ;3;1; ; ; ; ; ;44; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;2392;7233;2; ; ; ;2;2;2;2;1;2;1;2;2;2;1;1;42;1;2; ; ; ;1;44; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;560;57;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;99;7;7;3;2;6;5;5;3;7;0;7;7;7;1;2713;87,0763511117316;5;617;272,333333333333;0;0;1;1; ;1;7;3;010150000203;01015000020302202;010150000203022021;01015000020302202101;202206
1;10150;000203;022;02;1;02;2;60;2;10;10;1;2; ; ; ;11;4;6;1; ; ;6;1; ;3;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;8; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;1;200;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;7;7;8;6;3;5;6;5;4;7;3;5;99;99;1;2713;87,0763511117316;3; ;272,333333333333;0;0;9; ; ; ; ; ;010150000203;01015000020302202;010150000203022021;01015000020302202102;202206
1;10150;000203;022;02;1;03;1;30;3;10;10;6;1;2;3;1; ;9;4; ;2; ;6;1; ;3;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;9;4; ; ; ;1;3;4;6311;3513;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2;1;2;1;1;2;2;2;2;2;2;2;3;8;8;9;9;8;9;8;8;8;8;9;6;7;8;99;1;2713;87,0763511117316;5; ;272,333333333333;0;0;7; ;1; ; ; ;010150000203;01015000020302202;010150000203022021;01015000020302202103;202206
1;10150;000203;022;03;1;01;1;29;1;10;10;1;2; ; ; ;5;6;6; ; ; ;6;2;70150;1;1; ; ; ; ; ;40; ;1;1;1;10; ;7; ; ; ; ; ; ; ; ; ;4321;9629;2; ; ; ;3;1;2;2;2;2;2;2;2;2;2;2;0;1;1;4;3;2;1;40; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;500;0;1;55; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;0;5;99;0;0;6;0;0;3;99;0;0;99;99;1;2713;87,0763511117316;4;555;492,5;0;0;1;1; ;2;9;6;010150000203;01015000020302203;010150000203022031;01015000020302203101;202206
1;10150;000203;022;03;1;02;2;29;2;1;10;1;1;6;3;1; ;7;3; ; ; ;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;2; ; ; ; ; ; ; ; ; ; ;5221;5230;2; ; ; ;2;2;2;2;1;2;1;2;2;2;1;1;4;1;1;3;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;385;45;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;99;6;5;1;1;7;3;3;99;6;0;5;99;99;1;2713;87,0763511117316;4;430;492,5;0;0;1;1; ;1;5;8;010150000203;01015000020302203;010150000203022031;01015000020302203102;202206
1;10150;000203;022;04;1;01;1;80;1;10;10;4;2; ; ; ;1;6;6; ; ; ;7;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;1;1000;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;8;8;8;99;99;99;99;8;8;9;9;8;99;99;1;2713;87,0763511117316;4; ;750;0;0;9; ; ; ; ; ;010150000203;01015000020302204;010150000203022041;01015000020302204101;202206
1;10150;000203;022;04;1;02;1;47;3;1;10;6;2; ; ; ;2;9;5; ;1;30910801;6;1; ;2;1; ; ; ; ; ;50; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;4771;5221;5;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;15;6;1;2;2;1;2;25;25;0;119;6113;6;2;10;1;1;3;2;1;7000;2; ;6500; ; ; ; ;0;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;3;2;7;99;5;6;6;4;2;5;2;7;99;99;1;2713;87,0763511117316;5;500;750;0;0;1;1; ;1;5;7;010150000203;01015000020302204;010150000203022041;01015000020302204102;202206
1;10150;000203;022;05;1;01;2;59;1;1;10;3;2; ; ; ;5;6;6; ; ; ;6;1; ;1;1; ; ; ; ; ;51; ;2;2;1;8; ;7; ; ; ; ; ; ; ; ; ;9602;5141;2; ; ; ;2;2;2;2;1;1;1;2;2;2;1;1;6;1;1;3;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;512;90;1;5; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;2;5;1;0;8;5;4;5;3;3;1;6;99;1;2713;87,0763511117316;4;607;607;0;0;1;1; ;1;5;19;010150000203;01015000020302205;010150000203022051;01015000020302205101;202206
1;10150;000203;022;06;1;01;1;57;1;2;10;3;2; ; ; ;2;10;1; ;1;40810103;4;1; ;1;1; ; ; ; ; ;84; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;113;2132;6;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;10;1;1;2;1;1;84; ; ; ; ; ; ; ; ; ; ; ;2;1200;1;100;300; ; ; ; ; ; ; ;2; ;2; ;1;300;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;5;4;8;4;5;99;10;99;5;99;2;5;99;99;1;2713;87,0763511117316;5;1000;1300;0;0;1;1; ;1;2;1;010150000203;01015000020302206;010150000203022061;01015000020302206101;202206
1;10150;000203;022;07;1;01;2;66;1;1;10;6;2; ; ; ;11;4;4;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;1;300;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;8;9;7;0;0;9;9;0;9;9;9;9;8;9;1;2713;87,0763511117316;3; ;300;0;0;9; ; ; ; ; ;010150000203;01015000020302207;010150000203022071;01015000020302207101;202206
1;10150;001201;022;01;1;01;1;30;1;1;10;1;2; ; ; ;2;10;2; ;1;50210402;6;1; ;1;1; ; ; ; ; ;50; ;4;4; ; ;6; ; ; ; ; ; ; ; ; ; ;8542;2354;1; ; ; ;3;2;2;2;1;2;1;2;2;1;1;1;8;1;2; ; ; ;2;40;10;0;8530;2310;2; ;1;2; ; ; ;1; ; ; ; ;650;185;1;15;300;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;9;9;4;0;0;1;4;6;2;3;0;0;0;0;1;2712;226,223261033423;5;1150;400;0;0;1;1; ;1;2;16;010150001201;01015000120102201;010150001201022011;01015000120102201101;202206
1;10150;001201;022;01;1;02;2;30;2;1;10;1;2; ; ; ;2;9;5; ;1;30910507;6;1; ;1;2;12;1;2;2;2;30;1; ;4; ; ;1; ; ; ; ; ; ; ; ; ; ;4771;5221;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;0;6;1;1;3;1;1;30; ; ; ; ; ; ; ; ; ; ; ;5;1900;2; ;1450; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;5;8;5;4;5;3;4;4;5;4;4;4;4;3;1;2712;226,223261033423;5;450;400;0;0;1;1; ;1;5;7;010150001201;01015000120102201;010150001201022011;01015000120102201102;202206
1;10150;001201;022;01;1;03;2;4;3;1;10; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;226,223261033423; ; ;400;0;0;0; ; ; ; ; ;010150001201;01015000120102201;010150001201022011;01015000120102201103;202206
1;10150;001201;022;01;1;04;2;2;3;1;10; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;226,223261033423; ; ;400;0;0;0; ; ; ; ; ;010150001201;01015000120102201;010150001201022011;01015000120102201104;202206
1;10150;001201;022;02;1;01;2;51;1;1;10;1;2; ; ; ;3;4;6;1; ; ;6;2;10550;1;1; ; ; ; ; ;45; ;2;4; ; ;6; ; ; ; ; ; ; ; ; ; ;5610;9412;2; ; ; ;2;1;2;2;1;2;1;2;2;2;1;1;0;1;1;3;4;1;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;385;40;1;60; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;6;9;8;7;6;6;8;8;8;8;8;8;8;5;1;2712;226,223261033423;3;485;522,5;0;0;1;1; ;1;9;9;010150001201;01015000120102202;010150001201022021;01015000120102202101;202206
