area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;rsp1;sp01;sp02a;sp02b;sp02c;sp02d;sp02e;sp02f;sp02g;sp02h;sp02i;sp02j;sp02k;sp02l;af101;af102h;af102m;af201cod;af201d;af201h;af201m;af202cod;af202d;af202h;af202m;af203cod;af203d;af203h;af203m;af204h;af204m;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;002103;034;01;1;01;2;42;1;10;10;1;2; ; ; ;5;6;6; ; ; ;6;2;10950;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;1;500;2; ;2; ;1;400;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ;1;4;6;0;3;0;1;2713;73,452161809374;4; ;300;0;0;9; ; ; ; ; ;010150002103;01015000210303401;010150002103034011;01015000210303401101;202212
1;10150;002103;034;01;1;02;2;22;3;10;10;6;1;1;3;1; ;9;4; ;2; ;6;2;10950;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ;1;7;1;0;2;30;1;2713;73,452161809374;5; ;300;0;0;9; ; ; ; ; ;010150002103;01015000210303401;010150002103034011;01015000210303401102;202212
1;10150;002103;034;01;1;03;2;18;3;10;10;6;2; ; ; ;17;7;3; ; ; ;6;2;10950;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;6;99;7;99;5;5;8;2;5;6;6;4;4; ; ; ;2; ; ; ;2; ; ; ;1;6;0;45;3;45;1;2713;73,452161809374;4; ;300;0;0;9; ; ; ; ; ;010150002103;01015000210303401;010150002103034011;01015000210303401103;202212
1;10150;002103;034;02;1;01;1;73;1;1;10;1;2; ; ; ;1;9;4; ;1;30110406;6;1; ;3;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;1;800;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;6;7;5;8;4;4;5;4;5;4;6;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2713;73,452161809374;5; ;1061,66666666667;0;0;9; ; ; ; ; ;010150002103;01015000210303402;010150002103034021;01015000210303402101;202212
1;10150;002103;034;02;1;02;2;55;2;1;10;1;2; ; ; ;2;9;5; ;1;30110301;6;2;10850;3;1; ; ; ; ; ;50; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;8521;2330;1; ; ; ;1;2;2;2;1;2;1;2;2;1;1;1;37;1;2; ; ; ;2;40;10;0;8542;2354;6;2;8;1;1;3;2;1; ; ; ; ;900;300;1;10;200;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ;1;3;0;40;8;30;1;2713;73,452161809374;5;1410;1061,66666666667;0;0;1;1; ;1;2;16;010150002103;01015000210303402;010150002103034021;01015000210303402102;202212
1;10150;002103;034;02;1;03;1;23;3;5;10;6;1;3;3;1; ;9;2; ;2; ;6;1; ;3;1; ; ; ; ; ;70; ;1;4; ; ;2; ; ; ; ; ; ; ; ; ; ;7310;3513;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;4;8;1;1;2;1;1;70; ; ; ; ; ; ; ; ; ; ; ;5;1000;2; ;25; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;1;4;1;30;1;4;0;30;12;0;1;2713;73,452161809374;5;975;1061,66666666667;0;0;1;1; ;1;3;13;010150002103;01015000210303402;010150002103034021;01015000210303402103;202212
1;10150;002103;034;03;1;01;1;36;1;10;10;6;2; ; ; ;5;6;6; ; ; ;6;2;11051;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;2;3; ; ; ;1;6;3;4330;7131;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;600;2; ;2; ;2; ;2;2;2;1;1;2;2;2;2;2;2;2;5;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;1;1;3;30;1;5;1;30;4;30;1;2713;73,452161809374;4; ;300;0;0;7; ;1; ; ; ;010150002103;01015000210303403;010150002103034031;01015000210303403101;202212
1;10150;002103;034;03;1;02;2;62;6;10;10;6;2; ; ; ;11;2;5;1; ; ;6;2;11051;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;99;4;99;0;0;5;3;0;4;5;0;4; ; ; ;2; ; ; ;2; ; ; ;1;2;0;30;5;30;1;2713;73,452161809374;2; ;300;0;0;9; ; ; ; ; ;010150002103;01015000210303403;010150002103034031;01015000210303403102;202212
1;10150;002103;034;04;1;01;1;62;1;2;10;6;2; ; ; ;2;9;6; ;1;30910205;7;2;10950;1;1; ; ; ; ; ;10;1; ;4; ; ;5; ; ; ; ; ; ; ; ; ; ;8610;2211;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;35;8;1;1;2;1;1;10; ; ; ; ; ; ; ; ; ; ; ;2;200;2; ;0; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ;1;7;0;40;5;30;1;2713;73,452161809374;5;200;246;0;0;4;1; ;1;2;17;010150002103;01015000210303404;010150002103034041;01015000210303404101;202212
1;10150;002103;034;04;1;02;2;57;7;1;10;6;2; ; ; ;2;9;5; ;1;30110501;7;2;10950;2;1; ; ; ; ; ;25;1; ;2;1;10; ;7; ; ; ; ; ; ; ; ; ;8890;2342;2; ; ; ;2;1;2;2;1;2;1;2;2;2;1;1;25;1;1;7;2;1;1;25; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;250;22;1;20; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;6;5;3;6;5;7;5;4;5;5;6;2;2; ; ; ;2; ; ; ;2; ; ; ;1;7;0;45;6;30;1;2713;73,452161809374;5;292;246;0;0;2;1; ;1;2;17;010150002103;01015000210303404;010150002103034041;01015000210303404102;202212
