area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;000304;042;01;1;01;1;30;1;1;10;5;2; ; ; ;3;6;6; ; ; ;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;8413;5412;1; ; ; ;1;2;2;2;1;2;1;2;2;2;1;1;10;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;900;100;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;4;1000;646,666666666667;0;0;1;1; ;1;5;15;010150000304;01015000030404201;010150000304042011;01015000030404201101;202306
1;10150;000304;042;01;1;02;2;38;2;1;10;5;2; ; ; ;2;10;2; ;1;40110108;6;2;70150;1;1; ; ; ; ; ;40; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;8521;2342;1; ; ; ;1;2;2;2;1;2;1;2;2;2;1;1;10;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;850;90;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;5;940;646,666666666667;0;0;1;1; ;1;2;16;010150000304;01015000030404201;010150000304042011;01015000030404201102;202306
1;10150;000304;042;01;1;03;1;0;3;1;10; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291; ; ;646,666666666667;0;0;0; ; ; ; ; ;010150000304;01015000030404201;010150000304042011;01015000030404201103;202306
1;10150;000304;042;02;1;01;1;55;1;10;10;1;2; ; ; ;3;4;1;2; ; ;6;2;111150;1;1; ; ; ; ; ;48; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;5224;9333;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;18;4;1;1;3;2;1;48; ; ; ; ; ; ; ; ; ; ; ;5;350;2; ;12; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3;338;219;0;0;4;1; ;2;9;8;010150000304;01015000030404202;010150000304042021;01015000030404202101;202306
1;10150;000304;042;02;1;02;2;30;3;10;10;6;2; ; ; ;3;6;3; ; ; ;6;2;111150;2;1; ; ; ; ; ;40; ;1;4; ; ;5; ; ; ; ; ; ; ; ; ; ;4799;9520;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;8;3;1;1;3;2;1;40; ; ; ; ; ; ; ; ; ; ; ;5;700;1;10;450; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;1;55;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3;260;219;0;0;4;1; ;2;9;7;010150000304;01015000030404202;010150000304042021;01015000030404202102;202306
1;10150;000304;042;02;1;03;1;6;5;10;10; ;1;1;1;4; ;5;1;2; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3; ;219;0;0;0; ; ; ; ; ;010150000304;01015000030404202;010150000304042021;01015000030404202103;202306
1;10150;000304;042;03;1;01;2;39;1;1;10;6;2; ; ; ;3;4;6;1; ; ;6;2;10450;1;1; ; ; ; ; ;20;1; ;1;1;20; ;7; ; ; ; ; ; ; ; ; ;9700;9111;10; ; ; ;2;2;2;2;1;2;1;2;2;2;1;1;6;8;1;1; ; ;1;20; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;240;24;2; ; ; ; ;2; ;2; ;1;100;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3;264;75,2;1;0;2;1; ;3;9;20;010150000304;01015000030404203;010150000304042031;01015000030404203101;202306
1;10150;000304;042;03;1;02;1;17;3;1;10;6;1;2;1;4; ;7;2; ; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;4; ;75,2;1;0;9; ; ; ; ; ;010150000304;01015000030404203;010150000304042031;01015000030404203102;202306
1;10150;000304;042;03;1;03;2;15;3;1;10;6;1;1;1;4; ;5;10;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3; ;75,2;1;0;9; ; ; ; ; ;010150000304;01015000030404203;010150000304042031;01015000030404203103;202306
1;10150;000304;042;03;1;04;1;13;3;1;10;6;1;1;1;4; ;5;8;1; ; ;6;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;4;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;159,745599149291;3; ;75,2;1;0;0; ; ; ; ; ;010150000304;01015000030404203;010150000304042031;01015000030404203104;202306
