area;ciudad;conglomerado;panelm;vivienda;hogar;p01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p76;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;sp01;af101;af102h;af102m;af201cod;af201d;af201h;af201m;af202cod;af202d;af202h;af202m;af203cod;af203d;af203h;af203m;af204h;af204m;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;000304;048;01;1;01;1;83;1;10;10;1;2; ; ; ;1;4;2;1; ; ;6;2;10562;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;100;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;51,4003639092399;3; ;50;1;1;9; ; ; ; ; ;010150000304;01015000030404801;010150000304048011;01015000030404801101;202312
1;10150;000304;048;01;1;02;2;84;2;10;10;1;2; ; ; ;1;1; ;2; ; ;6;2;10562;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;11; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;51,4003639092399;1; ;50;1;1;9; ; ; ; ; ;010150000304;01015000030404801;010150000304048011;01015000030404801102;202312
1;10150;000304;048;02;1;01;1;70;1;10;10;3;2; ; ; ;1;9;3; ;2; ;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;4520;7231;2; ; ; ;2;2;1;2;2;2;2;2;2;2;2;2;30;1;1;2;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;240;0;1;100; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;51,4003639092399;5;340;340;0;0;4;1; ;1;7;7;010150000304;01015000030404802;010150000304048021;01015000030404802101;202312
1;10150;000304;048;03;1;01;1;48;1;1;10;1;2; ; ; ;2;10;2; ;1;50320101;6;1; ;2;1; ; ; ; ; ;40; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;8530;2310;1; ; ; ;3;2;2;2;1;2;1;2;2;2;1;1;8;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1300;200;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ;1;4;2;0;2; ; ; ;1;4;2;0;1;0;1;2712;51,4003639092399;5;1500;1461,66666666667;0;0;1;1; ;1;2;16;010150000304;01015000030404803;010150000304048031;01015000030404803101;202312
1;10150;000304;048;03;1;02;2;43;2;1;10;1;2; ; ; ;2;10;2; ;1;51020101;6;2;90150;2;1; ; ; ; ; ;84; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;729;2212;2; ; ; ;2;1;1;1;1;1;1;2;2;2;1;1;9;1;2; ; ; ;1;84; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2300;200;1;385; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ;2; ; ; ;1;2;1;0;1;4;0;40;4;0;1;2712;51,4003639092399;5;2885;1461,66666666667;0;0;1;1; ;1;2;2;010150000304;01015000030404803;010150000304048031;01015000030404803102;202312
1;10150;000304;048;03;1;03;1;20;3;10;10;6;1;5;1;4; ;9;1; ;2; ;6;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ;2; ; ; ;1;5;0;40;1;5;0;30;1;0;1;2712;51,4003639092399;5; ;1461,66666666667;0;0;9; ; ; ; ; ;010150000304;01015000030404803;010150000304048031;01015000030404803103;202312
1;10150;000304;048;04;1;01;2;64;1;1;10;3;2; ; ; ;1;10;1; ;1;40410204;6;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;1;1300;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ;2; ; ; ;1;3;1;0;1;7;0;20;2;0;1;2712;51,4003639092399;5; ;733,333333333333;0;0;9; ; ; ; ; ;010150000304;01015000030404804;010150000304048041;01015000030404804101;202312
1;10150;000304;048;04;1;02;2;37;3;10;10;1;2; ; ; ;2;9;5; ;1;30510102;6;1; ;2;1; ; ; ; ; ;15;3; ;3;1;40; ;1;3; ; ; ; ; ; ; ; ;1071;7512;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;0;9;1;1;3;2;1;25; ; ; ; ; ; ; ; ; ; ; ;5;80;1;20;30; ; ; ; ; ; ; ;1;350;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ;2; ; ; ;1;5;2;0;1;7;0;30;3;0;1;2712;51,4003639092399;5;70;733,333333333333;0;0;2;1; ;2;7;3;010150000304;01015000030404804;010150000304048041;01015000030404804102;202312
1;10150;000304;048;04;1;03;1;33;4;10;10;1;2; ; ; ;3;6;6; ; ; ;7;3;250;2;1; ; ; ; ; ;40; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;5610;5120;2; ; ; ;3;2;2;2;2;2;2;2;2;2;2;2;10;1;1;15;2;1;1;40; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ;480;0;2; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ;1;7;0;20;1;5;2;0;1;7;0;20;4;0;1;2712;51,4003639092399;4;480;733,333333333333;0;0;1;1; ;1;5;9;010150000304;01015000030404804;010150000304048041;01015000030404804103;202312
1;10150;000304;048;05;1;01;2;55;1;1;10;6;2; ; ; ;3;6;6; ; ; ;6;1; ;1;1; ; ; ; ; ;40; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;8890;5120;1; ; ; ;3;2;2;2;1;1;1;2;2;2;1;1;8;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;570;55;1;5; ; ; ;2; ;2; ;1;300;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ;2; ; ; ;1;5;0;20;1;7;0;30;2;0;1;2712;51,4003639092399;4;630;310;0;0;1;1; ;1;5;17;010150000304;01015000030404805;010150000304048051;01015000030404805101;202312
