area;ciudad;conglomerado;panelm;vivienda;hogar;P01;p02;p03;p04;p05a;p05b;p06;p07;p08;p081;p085;p09;p10a;p10b;p11;p12a;p12b;p15;p15aa;p15ab;cod_inf;p20;p21;p22;p23;p232;p233;p24;p25;p26;p27;p28;p29;p29a;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p421;p422;p42a;p43;p44a;p44b;p44c;p44d;p44e;p44f;p44g;p44h;p44i;p44j;p44k;p45;p46;p47a;p47b;p48;p49;p50;p51a;p51b;p51c;p52;p53;p54;p54a;p55;p56a;p56b;p57;p58;p61b1;p63;p64a;p64b;p65;p66;p67;p68a;p68b;p69;p70a;p70b;p71a;p71b;p72a;p72b;p73a;p73b;p74a;p74b;p75;p75g;p76;p76h;p77;p78;sd01;sd021;sd022;sd023;sd024;sd025;sd026;sd027;sd028;sd029;sd0210;sd0211;sd03;ced01a;estrato;fexp;nnivins;ingrl;ingpc;pobreza;epobreza;condact;empleo;desempleo;secemp;grupo1;rama1;upm;id_vivienda;id_hogar;id_persona;periodo
1;10150;304;42;1;1;1;1;31;1;1;10;5;2; ; ; ;5;6;6; ; ; ;6;1; ;2;1; ; ; ; ; ;40; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;8423;5412;1; ; ; ;1;2;2;2;1;1;1;2;2;1;1;1;10;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1000;100;1;21; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;328,2434271;4;1121;533,5;0;0;1;1; ;1;5;15;10150000304;1,02E+15;1,02E+16;1,02E+18;202406
1;10150;304;42;1;1;2;2;39;2;1;10;5;2; ; ; ;2;10;2; ;1;40110107;6;2;70150;2;1; ; ; ; ; ;40; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;8521;2342;1; ; ; ;1;2;2;2;1;2;1;2;2;1;1;1;14;1;2; ; ; ;1;40; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;900;100;1;8; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;328,2434271;5;1008;533,5;0;0;1;1; ;1;2;16;10150000304;1,02E+15;1,02E+16;1,02E+18;202406
1;10150;304;42;1;1;3;1;1;3;1;10; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;328,2434271; ; ;533,5;0;0;0; ; ; ; ; ;10150000304;1,02E+15;1,02E+16;1,02E+18;202406
1;10150;304;42;1;1;4;1;8;7;1;10; ;1;1;1;4; ;5;3;1; ; ;6;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;5;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;328,2434271;3; ;533,5;0;0;0; ; ; ; ; ;10150000304;1,02E+15;1,02E+16;1,02E+18;202406
1;10150;304;42;2;1;1;1;56;1;10;10;1;2; ; ; ;5;4;6;1; ; ;1;2;111150;1;1; ; ; ; ; ;35;1; ;4; ; ;5; ; ; ; ; ; ; ; ; ; ;5224;9333;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;30;4;1;1;3;2;1;35; ; ; ; ; ; ; ; ; ; ; ;5;320;2; ;0; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;328,2434271;3;320;143,6666667;0;0;4;1; ;2;9;8;10150000304;1,02E+15;1,02E+16;1,02E+18;202406
1;10150;304;42;2;1;2;2;30;3;10;10;6;2; ; ; ;5;6;1; ; ; ;1;2;111150;1;1; ; ; ; ; ;25;1; ;4; ; ;1; ; ; ; ; ; ; ; ; ; ;4799;9520;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;8;3;1;1;3;2;1;25; ; ; ; ; ; ; ; ; ; ; ;5;120;1;20;90; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;1; ;55;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;328,2434271;3;50;143,6666667;0;0;4;1; ;2;9;7;10150000304;1,02E+15;1,02E+16;1,02E+18;202406
1;10150;304;42;2;1;3;1;7;5;10;10; ;1;1;1;4; ;5;1;1; ; ;1;1; ;1;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;6;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;328,2434271;3; ;143,6666667;0;0;0; ; ; ; ; ;10150000304;1,02E+15;1,02E+16;1,02E+18;202406
1;10150;304;42;3;1;1;1;33;1;10;10;1;2; ; ; ;5;4;6;1; ; ;6;2;111158;2;1; ; ; ; ; ;42; ;1;4; ; ;6; ; ; ; ; ; ; ; ; ; ;5224;9331;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ;10;4;1;1;3;2;1;42; ; ; ; ; ; ; ; ; ; ; ;5;420;2; ;0; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;328,2434271;3;420;97;0;0;4;1; ;2;9;8;10150000304;1,02E+15;1,02E+16;1,02E+18;202406
1;10150;304;42;3;1;2;2;37;2;10;10;1;2; ; ; ;15;4;6;1; ; ;6;2;111158;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;9; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;1; ;55;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;328,2434271;3; ;97;0;0;9; ; ; ; ; ;10150000304;1,02E+15;1,02E+16;1,02E+18;202406
1;10150;304;42;3;1;3;2;5;3;10;10; ;2; ; ; ;17;1; ;2; ; ;6;1; ;2;2;12;2; ; ; ; ; ; ; ; ; ; ; ; ;11; ;12; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2;2; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2712;328,2434271;1; ;97;0;0;0; ; ; ; ; ;10150000304;1,02E+15;1,02E+16;1,02E+18;202406
