area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;1706;6;1;1;1;1;3;1;1;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;1;2713;101;10150001706;1,015E+15;1,015E+16;201912
1;10150;1706;6;2;1;1;4;3;1;5;1;4;1;2;1;0;1;1;1;1;;;1;1;1;2;1;2713;101;10150001706;1,015E+15;1,015E+16;201912
1;10150;1706;6;3;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;1;2713;101;10150001706;1,015E+15;1,015E+16;201912
1;10150;1706;6;4;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2713;101;10150001706;1,015E+15;1,015E+16;201912
1;10150;1706;6;5;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;4;2713;101;10150001706;1,015E+15;1,015E+16;201912
1;10150;1706;6;6;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2713;101;10150001706;1,015E+15;1,015E+16;201912
1;10150;1706;6;7;1;1;1;2;1;1;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;4;2713;101;10150001706;1,015E+15;1,015E+16;201912
1;10150;2803;6;1;1;1;1;4;1;1;1;1;1;5;3;0;1;1;1;1;;;1;1;1;2;4;2711;71;10150002803;1,015E+15;1,015E+16;201912
1;10150;2803;6;2;1;1;1;4;1;1;1;1;1;7;3;0;1;1;1;1;;;1;1;1;2;3;2711;71;10150002803;1,015E+15;1,015E+16;201912
1;10150;2803;6;3;1;1;1;4;1;1;1;1;1;5;3;0;1;1;1;1;;;1;1;1;2;4;2711;71;10150002803;1,015E+15;1,015E+16;201912
