area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;000503;009;01;1;1;1;4;1;2;1;1;1;5;4;1;1;1;1; ; ;1; ; ;1;1;1;2;4;2712;232,112520521573;010150000503;01015000050300901;010150000503009011;202012
1;10150;000503;009;02;1;1;2;6;2;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;2712;232,112520521573;010150000503;01015000050300902;010150000503009021;202012
1;10150;000503;009;03;1;1;2;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;2712;232,112520521573;010150000503;01015000050300903;010150000503009031;202012
1;10150;000503;009;04;1;1;1;3;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;2712;232,112520521573;010150000503;01015000050300904;010150000503009041;202012
1;10150;000503;009;05;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;2712;232,112520521573;010150000503;01015000050300905;010150000503009051;202012
1;10150;000503;009;06;1;1;1;2;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;2712;232,112520521573;010150000503;01015000050300906;010150000503009061;202012
1;10150;000503;009;08;1;1;1;4;2;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;2712;232,112520521573;010150000503;01015000050300908;010150000503009081;202012
1;10150;001101;005;01;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;2713;188,990751261762;010150001101;01015000110100501;010150001101005011;202012
1;10150;001101;005;02;1;1;2;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;2713;188,990751261762;010150001101;01015000110100502;010150001101005021;202012
1;10150;001101;005;03;1;1;1;4;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;2713;188,990751261762;010150001101;01015000110100503;010150001101005031;202012
1;10150;001101;005;04;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;2713;188,990751261762;010150001101;01015000110100504;010150001101005041;202012
1;10150;001101;005;05;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;2713;188,990751261762;010150001101;01015000110100505;010150001101005051;202012
1;10150;001101;005;06;1;1;2;1;1;2;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;2713;188,990751261762;010150001101;01015000110100506;010150001101005061;202012
1;10150;001101;005;10;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;2713;188,990751261762;010150001101;01015000110100510;010150001101005101;202012
1;10150;001304;005;01;1;1;1;2;2;5;3;1;2;3;2;0;1;1;1; ; ;1; ; ;1;3;1;2;4;2713;159,088726980103;010150001304;01015000130400501;010150001304005011;202012
