area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;10150;000203;010;01;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150000203;01015000020301001;010150000203010011;2713;396,364252092034;202112
1;10150;000203;010;02;1;1;2;2;2;1;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;1;1;010150000203;01015000020301002;010150000203010021;2713;396,364252092034;202112
1;10150;000203;010;03;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150000203;01015000020301003;010150000203010031;2713;396,364252092034;202112
1;10150;000203;010;04;1;1;2;1;1;1;2;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150000203;01015000020301004;010150000203010041;2713;396,364252092034;202112
1;10150;000203;010;05;1;1;2;3;2;2;2;1;2;3;2;1;1;1;1; ; ;1; ; ;1;1;1;1;1;010150000203;01015000020301005;010150000203010051;2713;396,364252092034;202112
1;10150;000203;010;06;1;1;2;1;2;2;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150000203;01015000020301006;010150000203010061;2713;396,364252092034;202112
1;10150;000203;010;07;1;1;1;2;1;2;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150000203;01015000020301007;010150000203010071;2713;396,364252092034;202112
1;10150;001201;010;01;1;1;2;2;2;1;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150001201;01015000120101001;010150001201010011;2712;256,520338684998;202112
1;10150;001201;010;02;1;1;1;2;1;1;1;1;1;5;3;0;1;1;2; ; ;1; ; ;1;1;1;2;5;010150001201;01015000120101002;010150001201010021;2712;256,520338684998;202112
1;10150;001201;010;03;1;1;1;2;2;1;2;1;1;6;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150001201;01015000120101003;010150001201010031;2712;256,520338684998;202112
1;10150;001201;010;04;1;1;1;4;1;2;1;1;1;5;4;1;1;1;1; ; ;1; ; ;1;1;1;2;4;010150001201;01015000120101004;010150001201010041;2712;256,520338684998;202112
1;10150;001201;010;05;1;1;2;6;1;1;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150001201;01015000120101005;010150001201010051;2712;256,520338684998;202112
1;10150;001201;010;06;1;1;1;2;1;1;2;1;2;4;3;1;1;1;1; ; ;1; ; ;1;1;1;2;4;010150001201;01015000120101006;010150001201010061;2712;256,520338684998;202112
1;10150;001201;010;07;1;1;1;2;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150001201;01015000120101007;010150001201010071;2712;256,520338684998;202112
1;10150;002803;023;01;1;1;1;4;2;1;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;6;010150002803;01015000280302301;010150002803023011;2711;73,514445061928;202112
1;10150;002803;023;02;1;1;1;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150002803;01015000280302302;010150002803023021;2711;73,514445061928;202112
1;10150;002803;023;03;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150002803;01015000280302303;010150002803023031;2711;73,514445061928;202112
1;10150;002803;023;04;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150002803;01015000280302304;010150002803023041;2711;73,514445061928;202112
1;10150;002803;023;05;1;1;1;4;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150002803;01015000280302305;010150002803023051;2711;73,514445061928;202112
1;10150;002803;023;06;1;1;1;4;2;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150002803;01015000280302306;010150002803023061;2711;73,514445061928;202112
1;10150;002803;023;07;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150002803;01015000280302307;010150002803023071;2711;73,514445061928;202112
1;10150;003003;010;01;1;1;2;1;1;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150003003;01015000300301001;010150003003010011;2712;91,8872417600786;202112
1;10150;003003;010;02;1;1;3;6;3;1;3;1;2;1;1;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150003003;01015000300301002;010150003003010021;2712;91,8872417600786;202112
1;10150;003003;010;03;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150003003;01015000300301003;010150003003010031;2712;91,8872417600786;202112
1;10150;003003;010;04;1;1;2;2;3;2;2;1;2;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150003003;01015000300301004;010150003003010041;2712;91,8872417600786;202112
1;10150;003003;010;05;1;1;1;2;1;2;1;1;1;9;6;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150003003;01015000300301005;010150003003010051;2712;91,8872417600786;202112
1;10150;003003;010;06;1;1;2;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150003003;01015000300301006;010150003003010061;2712;91,8872417600786;202112
1;10150;003003;010;07;1;1;2;2;2;1;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150003003;01015000300301007;010150003003010071;2712;91,8872417600786;202112
1;10150;003302;027;01;1;1;1;4;3;4;2;1;2;4;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;010150003302;01015000330202701;010150003302027011;2711;135,089344062169;202112
1;10150;003302;027;02;1;1;1;4;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;6;010150003302;01015000330202702;010150003302027021;2711;135,089344062169;202112
1;10150;003302;027;03;1;3;1;2;1;2;1;1;1;1;1;0;1;1;1; ; ;1; ; ;1;1;1;2;6;010150003302;01015000330202703;010150003302027031;2711;135,089344062169;202112
1;10150;003302;027;04;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150003302;01015000330202704;010150003302027041;2711;135,089344062169;202112
