area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;000304;048;01;1;3;1;2;3;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;51,4003639092399;010150000304;01015000030404801;010150000304048011;202312
1;10150;000304;048;02;1;1;3;3;2;4;1;1;1;1;0;0;1;1;1; ; ;1; ; ;1;2;1;2;6;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;51,4003639092399;010150000304;01015000030404802;010150000304048021;202312
1;10150;000304;048;03;1;1;1;4;1;1;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;1;2;2; ;1;150;2; ;2; ;1;50;2; ;2; ;2712;51,4003639092399;010150000304;01015000030404803;010150000304048031;202312
1;10150;000304;048;04;1;3;1;4;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;2;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2712;51,4003639092399;010150000304;01015000030404804;010150000304048041;202312
1;10150;000304;048;05;1;3;2;1;1;2;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;300; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;51,4003639092399;010150000304;01015000030404805;010150000304048051;202312
1;10150;000304;048;06;1;1;1;2;3;4;3;1;3;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;51,4003639092399;010150000304;01015000030404806;010150000304048061;202312
1;10150;000304;048;09;1;3;2;1;1;2;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;5;180; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;51,4003639092399;010150000304;01015000030404809;010150000304048091;202312
1;10150;002103;034;02;1;1;1;1;1;2;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;1;1;1;1;2; ;2; ;2; ;1;100;2; ;2; ;2713;61,6465640980037;010150002103;01015000210303402;010150002103034021;202312
1;10150;002103;034;04;1;1;1;4;1;2;1;1;1;7;4;0;1;1;1; ; ;1; ; ;1;1;1;2;5;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;40;2; ;2; ;2713;61,6465640980037;010150002103;01015000210303404;010150002103034041;202312
1;10150;002103;034;05;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;61,6465640980037;010150002103;01015000210303405;010150002103034051;202312
1;10150;002103;034;06;1;1;2;4;1;1;1;1;1;4;3;1;1;1;1; ; ;1; ; ;1;1;1;2;1;300;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;61,6465640980037;010150002103;01015000210303406;010150002103034061;202312
1;10150;002103;034;07;1;1;2;2;2;2;1;1;1;2;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;61,6465640980037;010150002103;01015000210303407;010150002103034071;202312
1;10150;002103;034;08;1;1;2;2;1;1;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;61,6465640980037;010150002103;01015000210303408;010150002103034081;202312
1;10150;002103;034;09;1;1;2;1;1;2;1;1;1;7;5;1;1;1;1; ; ;1; ; ;1;1;1;2;5;350; ; ; ;1;1;1;1;2; ;2; ;2; ;1;95;2; ;2; ;2713;61,6465640980037;010150002103;01015000210303409;010150002103034091;202312
1;10150;004502;050;01;1;1;2;1;1;1;2;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;270;2;1;2;1;1;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2712;134,209527190135;010150004502;01015000450205001;010150004502050011;202312
1;10150;004502;050;02;1;1;1;1;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;5;400; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;134,209527190135;010150004502;01015000450205002;010150004502050021;202312
1;10150;004502;050;04;1;3;1;4;2;4;3;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;300; ; ; ;1;1;2; ;2; ;2; ;2; ;1;40;2; ;2; ;2712;134,209527190135;010150004502;01015000450205004;010150004502050041;202312
1;10150;004502;050;05;1;1;1;4;1;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;1;1;2; ;1;90;2; ;2; ;2; ;2; ;2; ;2712;134,209527190135;010150004502;01015000450205005;010150004502050051;202312
1;10150;004502;050;06;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;400;2;2;2;1;1;2; ;2; ;2; ;2; ;1;100;2; ;2; ;2712;134,209527190135;010150004502;01015000450205006;010150004502050061;202312
1;10150;004502;050;07;1;1;1;4;1;2;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;300;2;2;1;1;1;2; ;2; ;2; ;2; ;1;35;2; ;2; ;2712;134,209527190135;010150004502;01015000450205007;010150004502050071;202312
1;10150;004502;050;08;1;1;1;2;1;1;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;300; ; ; ;1;1;2; ;2; ;2; ;1;100;2; ;2; ;2; ;2712;134,209527190135;010150004502;01015000450205008;010150004502050081;202312
1;10150;004702;051;02;1;1;1;4;2;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;1;2;2; ;2; ;2; ;2; ;1;60;2; ;2; ;2711;43,3560192253208;010150004702;01015000470205102;010150004702051021;202312
1;10150;004702;051;03;1;1;1;4;1;2;1;1;1;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;1;2;2; ;2; ;2; ;2; ;1;80;2; ;2; ;2711;43,3560192253208;010150004702;01015000470205103;010150004702051031;202312
1;10150;004702;051;04;1;1;1;4;2;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;1;2; ;2; ;2; ;2; ;1;30;2; ;2; ;2711;43,3560192253208;010150004702;01015000470205104;010150004702051041;202312
1;10150;004702;051;05;1;1;1;4;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2711;43,3560192253208;010150004702;01015000470205105;010150004702051051;202312
1;10150;004702;051;06;1;1;1;4;2;2;2;1;2;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;500; ; ; ;1;3;2; ;2; ;2; ;2; ;1;90;2; ;2; ;2711;43,3560192253208;010150004702;01015000470205106;010150004702051061;202312
