area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;000304;042;01;1;3;1;2;2;1;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;230;1;1;2;1;1;2; ;2; ;2; ;2; ;1;50;2; ;2; ;2712;328,24342711454;010150000304;01015000030404201;010150000304042011;202406
1;10150;000304;042;02;1;1;3;3;2;4;2;4;2;1;0;0;2;1;1; ; ;1; ; ;2;2;1;2;1;60;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;328,24342711454;010150000304;01015000030404202;010150000304042021;202406
1;10150;000304;042;03;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;328,24342711454;010150000304;01015000030404203;010150000304042031;202406
1;10150;000304;042;04;1;3;1;2;2;2;2;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;350; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;328,24342711454;010150000304;01015000030404204;010150000304042041;202406
1;10150;000304;042;05;1;3;1;2;2;1;1;1;1;6;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;350;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;328,24342711454;010150000304;01015000030404205;010150000304042051;202406
1;10150;000304;042;06;1;1;3;2;1;4;2;1;2;1;0;0;2;1;1; ; ;1; ; ;2;2;1;2;1;100;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;328,24342711454;010150000304;01015000030404206;010150000304042061;202406
1;10150;000304;042;07;1;3;2;2;1;4;1;1;1;2;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;100;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2712;328,24342711454;010150000304;01015000030404207;010150000304042071;202406
1;10150;002103;049;01;1;1;2;6;2;2;2;3;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;52,7923848772318;010150002103;01015000210304901;010150002103049011;202406
1;10150;002103;049;03;1;1;2;2;3;1;2;1;2;2;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;120; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2713;52,7923848772318;010150002103;01015000210304903;010150002103049031;202406
1;10150;002103;049;05;1;1;2;3;2;1;2;3;2;4;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;1;3;2; ;2; ;2; ;2; ;1;120;2; ;2; ;2713;52,7923848772318;010150002103;01015000210304905;010150002103049051;202406
